artist,album,variant,price_rub,seller,seller_reviews,kind,note,screen_ts,source
Nirvana,Nevermind,LP,5060,Stanislav.Vin,6639,single,,2026-09-07T00:16,avito
Nirvana,Nevermind,LP,4200,Александр,1383,single,,2026-09-07T00:16,avito
Nirvana,Nevermind,LP,3900,Амина,7,single,,2026-09-07T00:16,avito
Nirvana,Nevermind,1LP,3950,Vinyl&CD,589,single,,2026-09-07T00:16,avito
Nirvana,Nevermind,LP,2500,сергей,557,single,,2026-09-07T00:16,avito
Nirvana,Nevermind,LP,3900,Мария,4346,single,,2026-09-07T00:16,avito
Nirvana,Nevermind,LP Metallic Silver limited,4900,Horizon Vinyl,423,single,лимитка,2026-09-07T00:16,avito
Nirvana,Nevermind,LP новая,3990,Алексей,1414,single,,2026-09-07T00:16,avito
Nirvana,Nevermind,LP,2750,MUSIC BOUTIQUE,5342,single,,2026-09-07T00:16,avito
Nirvana,Nevermind,LP Silver,5000,Greetings from,431,single,лимитка,2026-09-07T00:16,avito
Nirvana,Nevermind,LP,4200,Виниловые Истории,163,lot,"лот из трёх: Bleach + Nevermind + Fecal Matter",2026-09-07T00:16,avito
Nirvana,Nevermind,LP,2650,Митя,75,doubtful,"заголовок «LP. Nirvana», обложка на фото не Nevermind",2026-09-07T00:16,avito
Michael Jackson,Thriller,LP,3800,InSound Vinyl,926,single,,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP,3490,Павел,2777,single,,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP,2900,Сергей,33,single,забронировано,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP новый,3490,VinylLPCD,2077,single,,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP,2400,Games Shop,37,single,,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP,4490,Антон,325,single,,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP,4500,VinylStore,3133,single,,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP picture disc,5200,Horizon Vinyl,423,special,picture disc,2026-09-07T00:30,avito
Michael Jackson,Thriller,2LP Thriller 25,5500,Александр,13,special,юбилейное 2LP,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP Red & Black,5300,US Groove,87,special,предзаказ цветной,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP жидкий винил,12800,US Groove,87,special,предзаказ спецвинил,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP оригинал 1982,15000,,,vintage,оригинальный пресс 1982,2026-09-07T00:30,avito
Michael Jackson,Thriller,сувенир в рамке,10000,Денис,627,not_a_record,"золотая пластинка в рамке, не для проигрывания",2026-09-07T00:30,avito
Michael Jackson,Thriller,сувенир в рамке,9000,Алекс,212,not_a_record,золотая пластинка в рамке,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP,15000,Олег,192,lot,"лот: Thriller + Bad + Dangerous",2026-09-07T00:30,avito
Michael Jackson,Michael,2LP,4490,,,wrong_album,"Michael — Songs from the Motion Picture, не Thriller",2026-09-07T00:30,avito
Michael Jackson,Bad,LP,3590,Алексей,1414,wrong_album,на фото обложка Bad,2026-09-07T00:30,avito
Michael Jackson,Bad,LP,3300,InSound Vinyl,926,wrong_album,на фото обложка Bad,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP,3790,Илья,1009,single,,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP,4000,Карина,7,single,,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP,3610,iamlp,251,single,со скидкой с 3800,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP,3500,Михаил,820,single,,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP Red Marble,3790,Сергей Винил,269,special,красный мраморный,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP picture disc,4150,Стерео & Винил,803,special,picture disc,2026-09-07T00:30,avito
Michael Jackson,Thriller,2LP Thriller 25,9550,Private Collection,302,special,юбилейное 2LP,2026-09-07T00:30,avito
Michael Jackson,Thriller,2LP Thriller 25,5800,Полина,51,special,юбилейное 2LP,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP Golden,6200,US Groove,87,special,предзаказ золотой,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP AMIGA,3500,Ольга,378,vintage,восточногерманский пресс AMIGA,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP EU 1982,6900,NV,40,vintage,оригинал 1982 EU,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP,12900,Алексей,39,vintage,коллекционный комплект,2026-09-07T00:30,avito
Michael Jackson,Thriller,7 дюймов,3500,Влад,22,not_an_album,"сингл Thriller b/w Things I Do For You, A 3643",2026-09-07T00:30,avito
Michael Jackson,Thriller,сувенир в рамке,9000,Денис,627,not_a_record,"тот же лот со скидкой с 10000, дубль",2026-09-07T00:30,avito
Michael Jackson,Thriller,LP,6480,Михаил,114,lot,на фото несколько пластинок,2026-09-07T00:30,avito
Michael Jackson,Thriller,LP UK 1982,5000,DEN,138,lot,Thriller UK'82 плюс George Michael,2026-09-07T00:30,avito
Michael Jackson,Thriller,,3333,Ил,126,doubtful,"фото голой пластинки, номер A 3643 — вероятно тот же сингл",2026-09-07T00:30,avito
