run_date,verdict,title,listing_url,current_price,landed_cost,discogs_median,margin_condition_adjusted,catalog_match_confidence,bought,bought_price_usd,sold_price_usd,sold_date,actual_grade_received,notes_outcome
2026-08-26,WATCH,Bill Evans Trio Waltz For Debby Riverside Records SMJ-6118 Japan  VINYL LP,https://www.ebay.com/itm/407165747754?_skw=Riverside+Records+vinyl+lp&hash=item5eccf8422a:g:-kIAAeSwfPFqi7Vw,0.99,29.99,62.52,2.08,manual_review,,,,,,
2026-08-26,WATCH,Bill Evans Trio Waltz For Debby Riverside Records SMJ-6118 Japan  VINYL LP OBI,https://www.ebay.com/itm/407165816405?_skw=Riverside+Records+vinyl+lp&hash=item5eccf94e55:g:JbgAAeSwpEtqi756,0.99,29.99,62.52,2.08,manual_review,,,,,,
2026-08-26,WATCH,Thelonious Monk w Sonny Rollins QUINTETS Prestige PRLP 7053 DG MONO RVG LP,https://www.ebay.com/itm/800551407399?_skw=Prestige+Records+vinyl+lp&hash=itemba64950f27:g:ewQAAeSwtFxqivi1,9.99,26.99,565.18,20.94,exact,,,,,,"подтверждено вручную (Cowork) — каталог/ценность реальны, несмотря на аномально высокую маржу"
2026-08-26,REJECT,"Charles Mingus - Mingus, Mingus, Mingus, Mingus, Mingus LP - Impulse Mono RVG",https://www.ebay.com/itm/206509246839?_skw=Impulse%21+vinyl+lp&hash=item3014e90977:g:LwoAAeSwUjRqiMUZ,8.0,25.0,,,manual_review,,,,,,"ОТКЛОНЁН при перепроверке 26.08 — Discogs резолвился в 'The Black Saint And The Sinner Lady', совсем другой альбом. Маржа 6.8x была посчитана против неверного релиза, недействительна."
2026-08-26,REJECT,POST BOP Atlantic Jazz LP A1-81705,https://www.ebay.com/itm/236855466986?_skw=Atlantic+Records+jazz+vinyl+lp&hash=item3725af9bea:g:PGYAAeSwQjlqII3V,9.95,,,,manual_review,,,,,,"ОТКЛОНЁН по ручному разбору пользователя 26.08 — резолвился в 'Atlantic Jazz' (catno A1-81712), реальный релиз 'Post Bop' (discogs.com/release/1309060, catno 7 81705-1, том серии Atlantic Jazz Gallery 1986). Слова 'Atlantic'/'Jazz' совпали у обоих, título-overlap не спас. Реальная медиана Discogs $5.97 (диапазон $2.25-15.36), have/want 206/17=12:1 — низкий спрос. Цена продавца $9.95+$4.39=$14.34, уже выше рынка без форвардинга. Маржа 5.55x была полностью недействительна."
2026-08-26,WATCH,BOOKER ERVIN The Blues Book PRESTIGE LP mono r,https://www.ebay.com/itm/366621443749?_skw=Prestige+Records+vinyl+lp&hash=item555c5746a5:g:oR8AAeSwhVlqiOXE,8.0,25.0,110.0,4.4,manual_review,,,,,,
2026-08-26,REJECT,Johnny Griffin - Grab This! LP Riverside RLP 9437 Holland 1962 jazz Joe Pass,https://www.ebay.com/itm/336695884966?_skw=Riverside+Records+vinyl+lp&hash=item4e64a37ca6:g:plUAAeSwkN9qXAgR,7.99,24.99,,,manual_review,,,,,,"ОТКЛОНЁН при перепроверке 26.08 — Discogs резолвился в 'Thousand Knives' (другой артист/жанр). Маржа 4.09x была посчитана против неверного релиза, недействительна."
2026-08-26,WATCH,GEORGE BENSON - Giblet Gravy - VERVE V6-8749 LP Vinyl Record,https://www.ebay.com/itm/188724962364?_skw=Verve+vinyl+lp&hash=item2bf0e2643c:g:ousAAeSw6JVqbWbF,0.99,18.88,68.46,3.63,manual_review,,,,,,
2026-08-26,WATCH,CHARLES MINGUS Mingus Plays Piano IMPULSE LP mono gatefold r,https://www.ebay.com/itm/318765466141?_skw=Impulse%21+vinyl+lp&hash=item4a37e7021d:g:VmcAAeSwe9ZqiOjW,8.0,25.0,79.98,3.2,manual_review,,,,,,
2026-08-26,WATCH,CANNONBALL ADDERLEY PLUS RIVERSIDE RLP9388 1LP,https://www.ebay.com/itm/237018063952?_skw=Riverside+Records+vinyl+lp&hash=item372f60a450:g:LCQAAeSwsgNqUJTS,3.99,37.99,120.54,3.17,manual_review,,,,,,
